l_office_no,avg_dist,count,cluster
1001,4333,14314,f
1002,4990,7309,h
1003,3881,6924,e
1004,5307,7688,h
1006,4415,6046,e
1007,5359,1132,g
1008,4783,13068,i
1009,4029,13835,f
101,3615,9292,f
1010,3818,12909,f
1011,3957,17250,f
1012,3855,10105,f
1013,3379,11324,c
1014,4075,7531,e
1015,4115,5779,e
1016,5003,4431,h
1017,3875,9910,f
1018,4237,7635,e
1019,3806,14852,f
102,3553,36923,f
1020,3656,14287,f
1021,4775,5922,h
1022,4285,8583,f
1023,5413,3526,h
1024,3734,4949,e
1025,4241,1467,d
1026,3871,2357,d
1027,3705,2761,d
1028,3178,3480,a
1029,3496,6591,b
103,3591,25447,f
1030,4438,4385,e
1031,5346,1343,g
1032,4241,1587,d
1033,3662,3739,e
1034,4739,1686,g
1035,3288,7691,b
1036,3571,3555,e
1037,4446,913,d
1038,3980,1022,d
1039,3300,1029,a
104,3927,25399,f
1040,7269,269,g
1041,3874,3347,d
1042,5231,1588,g
1044,4105,9921,f
1047,3559,4143,e
1048,3559,4175,e
1049,4301,1706,d
105,3811,15832,f
1050,3756,9263,f
1051,4631,2670,g
1052,3324,179,a
1053,3665,284,d
1054,3388,146,a
1056,5500,163,g
1057,3653,226,d
1058,3939,142,d
1059,3604,248,d
106,4599,41640,i
1060,3855,386,d
1061,3983,540,d
1062,3691,214,d
107,2880,31749,c
108,3731,21160,f
109,4669,22452,i
110,3570,8822,f
1101,8417,900,g
1102,4763,6738,h
1103,5089,4787,h
1105,5455,1862,g
1106,4610,4999,h
1108,4655,3462,g
1109,4410,3405,d
111,4684,23119,i
1110,4410,2617,d
1111,4802,7703,h
1112,4584,13360,i
1113,5147,5732,h
1114,5162,1322,g
1115,4038,6633,e
1117,4109,10620,f
1118,4889,15623,i
1119,5576,9013,i
112,3976,24575,f
1120,5625,14458,i
1121,6007,11174,i
1122,8216,14976,i
1123,7828,12343,i
1124,3960,17533,f
1125,3548,7084,e
1126,3878,9186,f
1127,3569,6955,e
1128,3487,4335,b
1129,3600,7383,e
113,3168,81864,c
1130,3864,3340,d
1131,4422,9076,f
1132,4331,9491,f
1135,3804,7054,e
1136,3704,3381,d
1137,3499,2961,a
1139,3841,6856,e
114,3588,34475,f
1140,3791,5733,e
1141,5050,7349,h
1145,4111,3948,e
1146,4121,5528,e
1148,4371,3818,e
1149,3298,8543,c
115,3409,23811,c
1150,4178,4153,e
1151,3032,3308,a
1152,3294,4393,b
1153,3765,11171,f
1155,5536,3330,g
1157,4319,4191,e
1158,4618,13187,i
1159,4932,3516,h
116,3113,24332,c
1160,4317,11032,f
1161,4575,1143,g
1162,2706,2572,a
1163,2970,1858,a
1165,3797,1407,d
1166,3901,5747,e
1167,3224,6009,b
1168,3357,2002,a
1169,3810,346,d
117,6565,19312,i
1170,5220,269,g
1171,4315,210,d
1172,6525,221,g
1173,3867,520,d
1174,4235,346,d
1175,2862,209,a
1177,3393,227,a
1178,3488,143,a
118,3355,20453,c
1180,3972,164,d
1181,3911,79,d
1182,4345,625,d
1184,3987,188,d
1185,3199,263,a
1186,2796,117,a
1188,1826,6,a
119,4647,18441,i
1190,1464,20,a
1191,1665,51,a
1194,1007,7,a
1195,2396,40,a
1196,1696,10,a
1197,2010,72,a
1198,3373,36,a
120,2933,9236,c
1201,4084,11478,f
1203,4402,10388,f
1204,5172,5053,h
1205,5557,11191,i
1206,4292,15430,f
1207,5567,4481,h
1208,4082,9995,f
1209,5017,26029,i
121,2980,10988,c
1210,4486,44633,f
1211,4067,22057,f
1212,4173,10705,f
1213,4125,7934,e
1214,3755,8580,f
1215,4903,22882,i
1217,4851,7438,h
1218,3928,10927,f
122,2723,17829,c
1220,3432,12464,c
1221,3929,13724,f
1222,5468,24652,i
1224,4940,14233,i
1226,4256,12250,f
1227,4641,5319,h
1228,4761,5020,h
1229,4535,3422,g
123,6645,8099,h
1230,4429,6053,e
1231,5582,19739,i
1232,4805,12489,i
1233,4634,8438,i
1235,4695,12007,i
1239,4456,2267,d
124,2839,23670,c
1240,4805,3932,h
1241,5211,3055,g
1242,5853,1514,g
1243,4123,12899,f
1244,3922,12298,f
1245,4007,11159,f
1246,4709,8370,i
1247,4677,6508,h
1248,4007,13062,f
1249,3396,6982,b
125,2439,23247,c
1250,5713,1378,g
1251,4417,9126,f
1253,3853,3275,d
1256,3656,4179,e
1257,4721,5892,h
1258,4248,3445,d
1259,4364,7222,e
126,2735,30561,c
1260,3817,5916,e
1261,3261,108,a
1262,4407,6038,e
1263,4684,1533,g
1264,4538,6185,h
1265,3965,7052,e
1266,4852,1740,g
1267,5074,6166,h
1268,5178,13920,i
1269,4566,6694,h
127,2943,9838,c
1271,4564,6040,h
1274,3893,3198,d
1275,4942,1498,g
1277,4711,3100,g
1278,4800,8421,i
1279,4928,1631,g
128,3337,25436,c
1280,4432,1947,d
1282,5977,3241,g
1283,3675,1967,d
1285,5212,2054,g
1286,4695,4282,h
1287,5105,1911,g
1288,3536,6354,e
1289,5316,3476,g
129,3138,17025,c
1290,3768,394,d
1291,4673,745,g
1293,3524,1501,d
1295,5101,2850,g
1296,2287,121,a
1297,3842,1547,d
1299,3694,414,d
130,3664,21572,f
1300,2512,58,a
1302,3148,6640,b
1303,3741,12143,f
1304,3480,2530,a
1305,4547,11906,i
1306,3717,14244,f
1308,3818,36541,f
131,4998,15292,i
1313,4581,4828,h
1314,4188,3005,d
1315,4239,4276,e
1316,4238,4576,e
1317,4393,1022,d
1318,3763,7842,e
1319,4891,11740,i
132,3712,17769,f
1320,3360,6894,b
1321,3838,12405,f
1322,3253,5918,b
1323,4792,7379,h
1325,4224,3786,e
1326,4610,4889,h
1327,3883,4209,e
1328,4019,11779,f
133,4750,13407,i
1332,5699,7293,h
1333,4289,6851,e
1334,4349,3172,d
1336,4460,6865,e
1337,4678,12886,i
1338,4093,7517,e
1339,4782,3690,h
134,3343,10697,c
1340,5013,1619,g
1342,3603,2103,d
1343,2862,3760,b
1344,4105,3765,e
1346,3511,4150,e
1347,4440,1925,d
1348,2711,2897,a
1349,5184,1308,g
135,3226,10512,c
1351,4240,8128,e
1352,3730,2351,d
1353,5225,957,g
1354,3703,5223,e
1355,5412,7889,h
1357,4900,1718,g
1358,4217,1818,d
1359,6055,2150,g
136,2619,7037,b
1360,3597,1377,d
1361,3735,4360,e
1362,3455,227,a
1363,3700,255,d
1364,3017,135,a
1365,2052,80,a
1366,5980,51,g
1367,4873,73,g
1368,4038,163,d
1369,3395,200,a
137,3006,9104,c
