"l_office_no","l_office_name","gu_name","r_holder_no","x_value","y_value"
2315,봉은사역 5번출구 옆,강남구,10,37.5142,127.061
2365,K+ 타워 앞,강남구,15,37.5233,127.038
2313,금원빌딩 앞,강남구,10,37.5251,127.052
2347,두산건설 본사,강남구,15,37.5186,127.035
2362,신사동 가로수길 입구,강남구,10,37.5176,127.022
2308,압구정파출소 앞,강남구,14,37.5293,127.036
2349,역삼빌딩 앞(하나은행 옆),강남구,10,37.5015,127.039
2341,일원역 4~5번 출구 사이,강남구,10,37.4833,127.085
2305,MCM 본사 직영점 앞,강남구,10,37.5206,127.035
2360,도곡1동 주민센터 교차로,강남구,15,37.4928,127.041
2388,강남구 도시관리공단,강남구,10,37.5168,127.052
2302,교보타워 버스정류장(신논현역 3번출구 후면),강남구,10,37.5056,127.024
2385,학동역,강남구,10,37.514,127.03
2354,청담역 2번출구,강남구,5,37.5198,127.057
2334,"8.삼호@ 2동 ( 간선도로)",강남구,15,37.4938,127.046
2408,강남한양수자인아파트,강남구,14,37.4773,127.113
2309,청담역(우리들병원 앞),강남구,10,37.5189,127.049
2331,동영문화센터앞,강남구,20,37.4981,127.045
2405,청담공원앞 교차로,강남구,20,37.5187,127.051
2328,르네상스 호텔 사거리 역삼지하보도 7번출구 앞,강남구,10,37.5036,127.043
2401,밀알학교 입구 (삼성서울병원 입구),강남구,15,37.4866,127.083
2343,세곡사거리 대왕파출소 앞,강남구,10,37.4653,127.108
2326,대치동 삼성로,강남구,10,37.5024,127.059
2323,주식회사 오뚜기 정문 앞,강남구,10,37.5022,127.067
2375,수서역 1번출구 앞,강남구,10,37.4874,127.101
2395,개포1단지아파트 입구 (보도육교),강남구,10,37.4793,127.056
2320,도곡역 대치지구대 방향,강남구,10,37.4919,127.057
2371,한국우편사업진흥원,강남구,10,37.5147,127.035
2392,구룡산 입구 (구룡산 서울둘레길 입구),강남구,15,37.4746,127.055
2381,언주역 6번출구앞,강남구,8,37.5064,127.035
2357,르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번 빌딩 명동칼국수 앞),강남구,15,37.5019,127.043
2369,KT선릉타워,강남구,20,37.5054,127.053
2314,청담나들목입구,강남구,10,37.5213,127.061
2353,강남구청역 2번출구 뒤,강남구,10,37.5168,127.04
